time_stamp,carbon_dioxide,electrical_conductivity,temp_env,humidity,pressure,temp_nutr,day_period
2026-01-19 19:20:36,0.27,1376.0,22.34266586,57.78850918,1139.319637,23.712,0
2026-01-19 19:23:20,0.27,1468.0,22.59607397,53.18291577,1283.05099,23.758,0
2026-01-19 19:26:04,0.28,1457.5,22.38067704,56.84507091,1166.931412,23.766,0
2026-01-19 19:28:48,0.27,1460.0,22.54539229,53.41934176,1272.823989,23.716,0
2026-01-19 19:31:32,0.28,1465.0,22.246371,56.45957099,1168.430102,23.6975,0
2026-01-19 19:34:16,0.27,1472.0,22.39334742,55.55359908,1203.342437,23.648,0
2026-01-19 19:37:00,0.28,1458.0,22.30212066,53.78856442,1244.365185,23.6015,0
2026-01-19 19:39:44,0.28,1467.5,22.27171172,55.35136006,1190.696149,23.605,0
2026-01-19 19:42:28,0.275,1473.0,22.74558514,60.16412201,1101.527643,23.5695,0
2026-01-19 19:45:12,0.28,1459.5,23.51848562,60.3558648,1148.93577,23.517,0
2026-01-19 19:47:56,0.27,1469.0,23.08768777,54.50868533,1284.564205,23.454,0
2026-01-19 19:50:40,0.28,1471.5,22.62901708,56.6541452,1186.156241,23.551,0
2026-01-19 19:53:24,0.275,1457.0,22.44402902,55.62825507,1198.618003,23.461,0
2026-01-19 19:56:08,0.27,1461.0,22.43896086,51.87366584,,23.4135,0
2026-01-19 19:58:52,0.28,1453.0,22.12980362,64.33494137,955.9260478,23.384,0
2026-01-19 20:01:36,0.27,1462.5,23.22452925,64.6374404,1006.842602,23.4505,0
2026-01-19 20:04:20,0.27,1467.0,23.3360298,55.57106896,1271.996485,23.417,0
2026-01-19 20:07:04,0.27,1460.5,22.71010785,55.76641497,1214.428043,23.4505,0
2026-01-19 20:09:48,0.28,1451.0,22.39334742,53.96580387,1246.330425,23.41,0
2026-01-19 20:12:32,0.27,1442.0,22.2843821,54.58407718,1222.622718,23.4085,0
2026-01-19 20:15:16,0.27,1450.5,22.53018779,54.27387551,1248.321143,23.398,0
2026-01-19 20:18:00,0.28,1452.0,22.95591478,67.13090297,918.1418659,23.377,0
2026-01-19 20:20:44,0.27,1448.0,23.36643908,57.10250213,1210.20838,23.237,0
2026-01-19 20:23:28,0.27,1448.0,22.63155116,56.69349343,1185.763718,23.347,0
2026-01-19 20:26:12,0.29,1447.0,22.34773402,56.75940397,1159.208873,23.281,0
2026-01-19 20:28:56,0.29,1452.0,22.3274614,55.78928741,1184.12015,23.26,0
2026-01-19 20:31:40,0.3,1464.5,22.96605117,65.22510569,974.7963043,23.309,0
